Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,,,,,,,,,,
14,UMK107BJ105KA-T,Taiyo Yuden,UMK107BJ105KA-T,https://octopart.com/umk107bj105ka-t-taiyo+yuden-12090744,C2 C8 C9 C10 C11 C12 C13 C14 C46 C47 C48 C49 C51 C68,,CAP CER 1UF 50V X5R 0603,14,587-2400-1-ND,5104254,,1034112,Cut Tape,Cut Tape,,,0.124,0.176,,,2043939,119583,,4400,1,1,,100,https://octopart.com/click/track?ai=8237&sig=0510af6&sid=459&ppid=12090744&vpid=34090480&ct=offers,https://octopart.com/click/track?ai=8237&sig=0335285&sid=2454&ppid=12090744&vpid=495873363&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0923c07&sid=10022&ppid=12090744&vpid=575871653&ct=offers,Freelance Electronics,UMK107BJ105KA-T,,0.0096,0.1344,0.1344,1484,1,https://octopart.com/click/track?ai=8237&sig=025401f&sid=13062&ppid=12090744&vpid=592344908&ct=offers,
6,CL21B684KBFVPNE,Samsung,CL21B684KBFVPNE,https://octopart.com/cl21b684kbfvpne-samsung-76986280,C15 C16 C21 C31 C50 C53,,CAP CER 0.68UF 50V X7R 0805,6,1276-7009-1-ND,,,,Cut Tape,,,,0.19,,,,45805,,,,1,,,,https://octopart.com/click/track?c=1&ai=8237&sig=0b574c6&sid=459&ppid=76986280&vpid=426278556&ct=offers,,,,Digi-Key,1276-7009-1-ND,Cut Tape,0.19,1.1400000000000001,1.1400000000000001,45805,1,https://octopart.com/click/track?c=1&ai=8237&sig=0b574c6&sid=459&ppid=76986280&vpid=426278556&ct=offers,
9,CL10B102KB8NNNC,Samsung,CL10B102KB8NNNC,https://octopart.com/cl10b102kb8nnnc-samsung-9301522,C32 C33 C34 C40 C41 C52 C54 C57 C59,,CAP CER 1000PF 50V X7R 0603,9,1276-1018-1-ND,3573581,,7665272,Cut Tape,Cut Tape,,,0.1,0.0091,,,572722,1136132,,136000,1,1,,4000,https://octopart.com/click/track?ai=8237&sig=0138e6a&sid=459&ppid=9301522&vpid=72523792&ct=offers,https://octopart.com/click/track?ai=8237&sig=0fb88a5&sid=2454&ppid=9301522&vpid=657046416&ct=offers,,https://octopart.com/click/track?ai=8237&sig=094158c&sid=10022&ppid=9301522&vpid=575772081&ct=offers,Future Electronics,3573581,Cut Tape,0.0091,0.0819,0.0819,1136132,1,https://octopart.com/click/track?ai=8237&sig=0fb88a5&sid=2454&ppid=9301522&vpid=657046416&ct=offers,
6,CL10B103KB8NNNC,Samsung,CL10B103KB8NNNC,https://octopart.com/cl10b103kb8nnnc-samsung-9299374,C36 C37 C38 C39 C58 C60,,CAP CER 10000PF 50V X7R 0603,6,1276-1009-1-ND,7103639,,7665373,Cut Tape,Cut Tape,,,0.1,0.0079,,,2658585,1432961,,6232000,1,1,,4000,https://octopart.com/click/track?ai=8237&sig=08f0957&sid=459&ppid=9299374&vpid=72523832&ct=offers,https://octopart.com/click/track?ai=8237&sig=08b147c&sid=2454&ppid=9299374&vpid=495872440&ct=offers,,https://octopart.com/click/track?ai=8237&sig=09d8818&sid=10022&ppid=9299374&vpid=575772086&ct=offers,Newark,82AC9315,Cut Tape,0.005,0.03,0.03,44883,1,https://octopart.com/click/track?ai=8237&sig=00bc199&sid=2402&ppid=9299374&vpid=511545493&ct=offers,
5,CL10B104KB8NNNL,Samsung,CL10B104KB8NNNL,https://octopart.com/cl10b104kb8nnnl-samsung-21395620,C42 C43 C55 C56 C61,,CAP CER 0.1UF 50V X7R 0603,5,1276-CL10B104KB8NNNLCT-ND,3113240,187-CL10B104KB8NNNL,,Cut Tape,Cut Tape,Tape & Reel,,0.1,0.098,,,5868552,570651,438200,,1,1,15000,,https://octopart.com/click/track?ai=8237&sig=0e9765d&sid=459&ppid=21395620&vpid=578720948&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f2016f&sid=2454&ppid=21395620&vpid=657046465&ct=offers,https://octopart.com/click/track?ai=8237&sig=00540b2&sid=2401&ppid=21395620&vpid=659501131&ct=offers,,Arrow.cn,CL10B104KB8NNNL#SAMSUNGE,,0.028,0.14,0.14,10928,1,https://octopart.com/click/track?ai=8237&sig=07a3a2f&sid=28928&ppid=21395620&vpid=642249454&ct=offers,
4,ESE227M050AH9EA,KEMET,ESE227M050AH9EA,https://octopart.com/ese227m050ah9ea-kemet-92837938,C44 C45 C66 C67,,CAP ALUM 220UF 20% 50V THRUHOLE,4,399-18266-1-ND,,,,Cut Tape,,,,0.37,,,,101,,,,1,,,,https://octopart.com/click/track?c=1&ai=8237&sig=0bcd6f5&sid=459&ppid=92837938&vpid=484652430&ct=offers,,,,Digi-Key,399-18266-1-ND,Cut Tape,0.37,1.48,1.48,101,1,https://octopart.com/click/track?c=1&ai=8237&sig=0bcd6f5&sid=459&ppid=92837938&vpid=484652430&ct=offers,
1,SJ1-3555NG,CUI Devices,SJ1-3555NG,https://octopart.com/sj1-3555ng-cui+devices-106234295,J1,,CONN JACK STEREO 3.5MM R/A,1,CP1-3555NG-ND,6034303,,,Bag,Box,,,0.9,0.55,,,14884,12500,,,1,1,,,https://octopart.com/click/track?ai=8237&sig=028bb4d&sid=459&ppid=106234295&vpid=612420483&ct=offers,https://octopart.com/click/track?ai=8237&sig=02bc3c9&sid=2454&ppid=106234295&vpid=656992232&ct=offers,,,Future Electronics,6034303,Box,0.55,0.55,0.55,12500,1,https://octopart.com/click/track?ai=8237&sig=02bc3c9&sid=2454&ppid=106234295&vpid=656992232&ct=offers,
3,282836-2,TE Connectivity,282836-2,https://octopart.com/282836-2-te+connectivity-39396934,J3 J4 J13,,TERM BLK 2POS SIDE ENTRY 5MM PCB,3,A98076-ND,4188728,,3617667,Box,Bag,,,0.71,0.295,,,34141,8601,,5005,1,1,,5,https://octopart.com/click/track?ai=8237&sig=03766e2&sid=459&ppid=39396934&vpid=198635742&ct=offers,https://octopart.com/click/track?ai=8237&sig=0dfe638&sid=2454&ppid=39396934&vpid=416937788&ct=offers,,https://octopart.com/click/track?ai=8237&sig=01d4f22&sid=10022&ppid=39396934&vpid=575813511&ct=offers,Sager Electronics,282836-2,,0.2355,0.7064999999999999,0.7064999999999999,0,1,https://octopart.com/click/track?c=1&ai=8237&sig=0304f12&sid=15568&ppid=39396934&vpid=115559715&ct=offers,
8,476-4,Keystone,476-4,https://octopart.com/476-4-keystone-225161,J5 J6 J7 J8 J9 J10 J11 J12,,CONN BANANA JACK MINIATURE SLDR,8,36-476-4-ND,,534-476-4,,Bulk,,Bulk,,0.69,,0.66,,3510,,289,,1,,1,,https://octopart.com/click/track?ai=8237&sig=076c679&sid=459&ppid=225161&vpid=212427319&ct=offers,,https://octopart.com/click/track?ai=8237&sig=075d1a8&sid=2401&ppid=225161&vpid=37932047&ct=offers,,Carlton-Bates,78382499741,,0.64,5.12,5.12,0,1,https://octopart.com/click/track?c=1&ai=8237&sig=0dcadd2&sid=18369&ppid=225161&vpid=521658433&ct=offers,
